Player,Name,Found,Evidence,URL
P Khadka (NEPAL),P Khadka,,search page,https://en.wikipedia.org/w/index.php?search=P%20Khadka&ns0=1
W Barresi (NED),W Barresi,,search page,https://en.wikipedia.org/w/index.php?search=W%20Barresi&ns0=1
Mohammad Naim (BAN),Mohammad Naim,Opener,infobox: opening batter,https://en.wikipedia.org/wiki/Mohammad_Naim
Misbah-ul-Haq (PAK),Misbah-ul-Haq,Middle-order,page text,https://en.wikipedia.org/wiki/Misbah-ul-Haq
CR Ervine (ZIM),CR Ervine,,search page,https://en.wikipedia.org/w/index.php?search=CR%20Ervine&ns0=1
Rohan Mustafa (UAE),Rohan Mustafa,All-rounder,infobox: all rounder,https://en.wikipedia.org/wiki/Rohan_Mustafa
SJ Myburgh (NED),SJ Myburgh,,search page,https://en.wikipedia.org/w/index.php?search=SJ%20Myburgh&ns0=1
LJ Wright (ENG),LJ Wright,,search page,https://en.wikipedia.org/w/index.php?search=LJ%20Wright&ns0=1
TP Ura (PNG),TP Ura,,search page,https://en.wikipedia.org/w/index.php?search=TP%20Ura&ns0=1
DJ Hussey (AUS),DJ Hussey,,search page,https://en.wikipedia.org/w/index.php?search=DJ%20Hussey&ns0=1
TL Seifert (NZ),TL Seifert,,search page,https://en.wikipedia.org/w/index.php?search=TL%20Seifert&ns0=1
